city,companyShortName,companySize,detail,education,financeStage,industryField,interviewer,location,pid,positionName,salary,time,updated_at,workYear
,,,,,,,35k-70k,,,高级Java开发工程师/架构师-【电商】,,,,
,,,,,,,15k-25k,,,Java高级开发工程师,,,,
,,,,,,,25k-50k,,,Java开发工程师,,,,
,,,,,,,30k-50k,,,Java开发工程师,,,,
,,,,,,,20k-40k,,,Java高级开发工程师,,,,
,,,,,,,20k-35k,,,Java高级开发工程师,,,,
,,,,,,,25k-35k,,,JAVA,,,,
,,,,,,,12k-16k,,,java开发工程师,,,,
,,,,,,,20k-40k,,,Java高级开发工程师,,,,
,,,,,,,20k-40k,,,Java开发工程师,,,,
,,,,,,,8k-16k,,,java开发工程师,,,,
,,,,,,,15k-25k,,,java工程师,,,,
,,,,,,,20k-30k,,,java高级开发工程师,,,,
,,,,,,,18k-25k,,,Java开发工程师,,,,
,,,,,,,15k-30k,,,java开发工程师,,,,
