city,companyShortName,education,industryField,positionName,salary,workYear
大连,永洪科技,"
8k-13k
经验1-3年 / 本科
                                ","
                                企业服务 / C轮 / 150-500人
                            ",大数据java开发,8k-13k,"
8k-13k
经验1-3年 / 本科
                                "
大连,云势软件,"
10k-15k
经验3-5年 / 大专
                                ","
                                企业服务 / B轮 / 150-500人
                            ",JAVA开发工程师,10k-15k,"
10k-15k
经验3-5年 / 大专
                                "
大连,腾讯无线大连研发中心,"
13k-18k
经验3-5年 / 不限
                                ","
                                移动互联网 / 未融资 / 150-500人
                            ",JAVA后台开发,13k-18k,"
13k-18k
经验3-5年 / 不限
                                "
大连,腾讯无线大连研发中心,"
14k-24k
经验3-5年 / 本科
                                ","
                                移动互联网 / 未融资 / 150-500人
                            ",后台java工程师,14k-24k,"
14k-24k
经验3-5年 / 本科
                                "
大连,永洪科技,"
5k-8k
经验应届毕业生 / 本科
                                ","
                                企业服务 / C轮 / 150-500人
                            ",Java校招（2019/2020届）,5k-8k,"
5k-8k
经验应届毕业生 / 本科
                                "
大连,小牛物流,"
8k-14k
经验3-5年 / 大专
                                ","
                                移动互联网 / 天使轮 / 15-50人
                            ",java开发工程师,8k-14k,"
8k-14k
经验3-5年 / 大专
                                "
大连,迪科远望,"
8k-15k
经验3-5年 / 本科
                                ","
                                移动互联网,硬件 / 未融资 / 150-500人
                            ",java开发工程师,8k-15k,"
8k-15k
经验3-5年 / 本科
                                "
大连,创未科技,"
20k-25k
经验5-10年 / 大专
                                ","
                                移动互联网 / 未融资 / 50-150人
                            ",Java开发工程师,20k-25k,"
20k-25k
经验5-10年 / 大专
                                "
大连,大商天狗网,"
8k-12k
经验3-5年 / 本科
                                ","
                                移动互联网,消费生活 / 不需要融资 / 150-500人
                            ",Java开发工程师,8k-12k,"
8k-12k
经验3-5年 / 本科
                                "
大连,大商天狗网,"
8k-12k
经验1-3年 / 本科
                                ","
                                移动互联网,消费生活 / 不需要融资 / 150-500人
                            ",Java工程师,8k-12k,"
8k-12k
经验1-3年 / 本科
                                "
大连,海伏科技有限公司,"
18k-22k
经验5-10年 / 本科
                                ","
                                移动互联网 / 天使轮 / 50-150人
                            ",Java开发工程师,18k-22k,"
18k-22k
经验5-10年 / 本科
                                "
大连,玖佳智能,"
5k-10k
经验1-3年 / 本科
                                ","
                                软件开发、硬件 / 不需要融资 / 15-50人
                            ",Java开发工程师,5k-10k,"
5k-10k
经验1-3年 / 本科
                                "
大连,CLPS,"
2k-3k
经验应届毕业生 / 本科
                                ","
                                数据服务,金融 / 未融资 / 500-2000人
                            ",java开发工程师,2k-3k,"
2k-3k
经验应届毕业生 / 本科
                                "
大连,大连维思创新科技,"
1k-2k
经验不限 / 本科
                                ","
                                移动互联网 / 未融资 / 15-50人
                            ",java软件开发实习生,1k-2k,"
1k-2k
经验不限 / 本科
                                "
大连,汇鑫华,"
2k-4k
经验应届毕业生 / 大专
                                ","
                                移动互联网,企业服务 / 不需要融资 / 15-50人
                            ",Java开发实习生,2k-4k,"
2k-4k
经验应届毕业生 / 大专
                                "
大连,华小讯,"
20k-30k
经验1-3年 / 大专
                                ","
                                移动互联网 / 未融资 / 150-500人
                            ",对日软件开发工程师JAVA,20k-30k,"
20k-30k
经验1-3年 / 大专
                                "
大连,众安保险,"
10k-20k
经验3-5年 / 本科
                                ","
                                金融 / 上市公司 / 2000人以上
                            ",JAVA开发工程师（大连）,10k-20k,"
10k-20k
经验3-5年 / 本科
                                "
大连,华企立方（大连）科技有限公司,"
2k-4k
经验应届毕业生 / 大专
                                ","
                                移动互联网 / 上市公司 / 150-500人
                            ",java后端实习,2k-4k,"
2k-4k
经验应届毕业生 / 大专
                                "
大连,华小讯,"
10k-20k
经验1年以下 / 大专
                                ","
                                移动互联网 / 未融资 / 150-500人
                            ",对日开发软件工程师JAVA实习,10k-20k,"
10k-20k
经验1年以下 / 大专
                                "
大连,华企立方（大连）科技有限公司,"
3k-4k
经验应届毕业生 / 不限
                                ","
                                移动互联网 / 上市公司 / 150-500人
                            ",java实习生,3k-4k,"
3k-4k
经验应届毕业生 / 不限
                                "
大连,未名企鹅,"
10k-20k
经验3-5年 / 本科
                                ","
                                电商,医疗丨健康 / A轮 / 15-50人
                            ",java开发工程师,10k-20k,"
10k-20k
经验3-5年 / 本科
                                "
大连,快创科技,"
6k-7k
经验1-3年 / 大专
                                ","
                                移动互联网 / 未融资 / 15-50人
                            ",Java开发工程师,6k-7k,"
6k-7k
经验1-3年 / 大专
                                "
大连,慧桥云联,"
1k-2k
经验应届毕业生 / 大专
                                ","
                                移动互联网 / 未融资 / 150-500人
                            ",java开发实习生,1k-2k,"
1k-2k
经验应届毕业生 / 大专
                                "
大连,未名企鹅,"
2k-3k
经验应届毕业生 / 本科
                                ","
                                电商,医疗丨健康 / A轮 / 15-50人
                            ",实习java工程师,2k-3k,"
2k-3k
经验应届毕业生 / 本科
                                "
大连,慧桥云联,"
1k-2k
经验应届毕业生 / 不限
                                ","
                                移动互联网 / 未融资 / 150-500人
                            ",java实习,1k-2k,"
1k-2k
经验应届毕业生 / 不限
                                "
大连,苏州恒力智能科技有限公司,"
6k-12k
经验1-3年 / 本科
                                ","
                                移动互联网,电商 / 不需要融资 / 50-150人
                            ",中级JAVA工程师,6k-12k,"
6k-12k
经验1-3年 / 本科
                                "
大连,苏州恒力智能科技有限公司,"
8k-15k
经验3-5年 / 本科
                                ","
                                移动互联网,电商 / 不需要融资 / 50-150人
                            ",高级java工程师,8k-15k,"
8k-15k
经验3-5年 / 本科
                                "
大连,CLPS,"
10k-17k
经验3-5年 / 本科
                                ","
                                数据服务,金融 / 未融资 / 500-2000人
                            ",java开发工程师,10k-17k,"
10k-17k
经验3-5年 / 本科
                                "
大连,华宇,"
6k-12k
经验应届毕业生 / 本科
                                ","
                                数据服务 / 上市公司 / 500-2000人
                            ",java开发工程师,6k-12k,"
6k-12k
经验应届毕业生 / 本科
                                "
大连,汇融,"
8k-15k
经验3-5年 / 本科
                                ","
                                金融 / 天使轮 / 50-150人
                            ",Java开发工程师,8k-15k,"
8k-15k
经验3-5年 / 本科
                                "
