city,companyShortName,education,industryField,positionName,salary,workYear
杭州,来未来,"
15k-30k
经验3-5年 / 本科
                                ","
                                企业服务 / 天使轮 / 15-50人
                            ",java开发工程师,15k-30k,"
15k-30k
经验3-5年 / 本科
                                "
杭州,鲜丰水果,"
15k-25k
经验5-10年 / 大专
                                ","
                                其他 / B轮 / 2000人以上
                            ",高级java开发工程师,15k-25k,"
15k-25k
经验5-10年 / 大专
                                "
杭州,鲜丰水果,"
15k-20k
经验3-5年 / 本科
                                ","
                                其他 / B轮 / 2000人以上
                            ",java高级开发工程师,15k-20k,"
15k-20k
经验3-5年 / 本科
                                "
杭州,华为技术有限公司,"
15k-30k
经验不限 / 本科
                                ","
                                通讯电子 / 不需要融资 / 2000人以上
                            ",Java开发工程师,15k-30k,"
15k-30k
经验不限 / 本科
                                "
杭州,海尔集团,"
15k-25k
经验3-5年 / 本科
                                ","
                                物联网,电商 / 上市公司 / 2000人以上
                            ",Java工程师,15k-25k,"
15k-25k
经验3-5年 / 本科
                                "
杭州,海尔集团,"
18k-30k
经验5-10年 / 不限
                                ","
                                物联网,电商 / 上市公司 / 2000人以上
                            ",java高级开发工程师,18k-30k,"
18k-30k
经验5-10年 / 不限
                                "
杭州,浙江钧信,"
20k-28k
经验3-5年 / 本科
                                ","
                                信息安全,数据服务 / 不需要融资 / 50-150人
                            ",高级java开发工程师,20k-28k,"
20k-28k
经验3-5年 / 本科
                                "
杭州,福建八萃,"
6k-10k
经验1-3年 / 大专
                                ","
                                移动互联网,企业服务 / 未融资 / 150-500人
                            ",java开发工程师,6k-10k,"
6k-10k
经验1-3年 / 大专
                                "
杭州,特抱抱,"
13k-25k
经验3-5年 / 本科
                                ","
                                移动互联网,电商 / A轮 / 50-150人
                            ",java开发工程师,13k-25k,"
13k-25k
经验3-5年 / 本科
                                "
杭州,端点科技,"
20k-40k
经验3-5年 / 本科
                                ","
                                电商,消费生活 / 不需要融资 / 150-500人
                            ",高级java开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                                "
杭州,端点科技,"
20k-40k
经验3-5年 / 本科
                                ","
                                电商,消费生活 / 不需要融资 / 150-500人
                            ",java开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                                "
杭州,浙江农信,"
20k-40k
经验3-5年 / 本科
                                ","
                                其他,金融 / 未融资 / 2000人以上
                            ",高级java开发工程师,20k-40k,"
20k-40k
经验3-5年 / 本科
                                "
杭州,浙江农信,"
20k-40k
经验5-10年 / 本科
                                ","
                                其他,金融 / 未融资 / 2000人以上
                            ",高级java开发工程师,20k-40k,"
20k-40k
经验5-10年 / 本科
                                "
杭州,上海恒格信息,"
10k-15k
经验3-5年 / 大专
                                ","
                                移动互联网,数据服务 / 不需要融资 / 50-150人
                            ",java开发工程师,10k-15k,"
10k-15k
经验3-5年 / 大专
                                "
杭州,360,"
25k-30k
经验5-10年 / 本科
                                ","
                                信息安全 / 上市公司 / 2000人以上
                            ",Java开发工程师,25k-30k,"
25k-30k
经验5-10年 / 本科
                                "
杭州,云霁科技,"
10k-20k
经验3-5年 / 本科
                                ","
                                企业服务 / B轮 / 50-150人
                            ",java工程师,10k-20k,"
10k-20k
经验3-5年 / 本科
                                "
杭州,一知智能,"
13k-25k
经验3-5年 / 本科
                                ","
                                移动互联网,数据服务 / A轮 / 50-150人
                            ",Java工程师,13k-25k,"
13k-25k
经验3-5年 / 本科
                                "
杭州,睿琪软件,"
27k-35k
经验3-5年 / 本科
                                ","
                                数据服务 / 不需要融资 / 150-500人
                            ",JAVA工程师,27k-35k,"
27k-35k
经验3-5年 / 本科
                                "
杭州,车纷享,"
12k-24k
经验3-5年 / 不限
                                ","
                                移动互联网 / 不需要融资 / 150-500人
                            ",java开发工程师,12k-24k,"
12k-24k
经验3-5年 / 不限
                                "
杭州,纳里健康,"
20k-25k
经验5-10年 / 本科
                                ","
                                医疗丨健康 / B轮 / 150-500人
                            ",高级java开发工程师,20k-25k,"
20k-25k
经验5-10年 / 本科
                                "
杭州,老虎集团,"
20k-40k
经验不限 / 本科
                                ","
                                移动互联网,金融 / 上市公司 / 500-2000人
                            ",java开发工程师,20k-40k,"
20k-40k
经验不限 / 本科
                                "
杭州,宁波中茂网络科技有限公司杭州分公司,"
18k-25k
经验3-5年 / 大专
                                ","
                                数据服务,软件开发 / 不需要融资 / 150-500人
                            ",高级java开发工程师,18k-25k,"
18k-25k
经验3-5年 / 大专
                                "
杭州,杭州亦闲信息,"
10k-20k
经验3-5年 / 本科
                                ","
                                教育 / 不需要融资 / 50-150人
                            ",java开发工程师,10k-20k,"
10k-20k
经验3-5年 / 本科
                                "
杭州,广通软件,"
18k-35k
经验5-10年 / 本科
                                ","
                                移动互联网,数据服务 / 上市公司 / 500-2000人
                            ",JAVA开发工程师,18k-35k,"
18k-35k
经验5-10年 / 本科
                                "
杭州,广通软件,"
18k-35k
经验5-10年 / 本科
                                ","
                                移动互联网,数据服务 / 上市公司 / 500-2000人
                            ",高级JAVA开发工程师,18k-35k,"
18k-35k
经验5-10年 / 本科
                                "
杭州,蚂蚁金服集团,"
20k-25k
经验不限 / 本科
                                ","
                                金融,移动互联网 / B轮 / 2000人以上
                            ",Java开发工程师,20k-25k,"
20k-25k
经验不限 / 本科
                                "
